"ASX code","Company name","GICs industry group","Listing date","Market Cap"
"BTC","BTC HEALTH LTD","Not Applic","29/08/2000",19519398
"BTE","BOTALA ENERGY LTD","Energy","14/07/2022",16260141
"BTH","BIGTINCAN HOLDINGS LIMITED","Software & Services","24/03/2017",180768705
"BTI","BAILADOR TECHNOLOGY INVESTMENTS LIMITED","Financial Services","21/11/2014",156002224
"BTM","BREAKTHROUGH MINERALS LIMITED","Energy","04/07/2007",3350165
"BTN","BUTN LIMITED","Financial Services","06/07/2021",32124626
"BTR","BRIGHTSTAR RESOURCES LIMITED","Materials","05/12/2003",228123311
"BUB","BUBS AUSTRALIA LIMITED","Food, Beverage & Tobacco","05/10/1993",98244304
"BUR","BURLEY MINERALS LTD","Materials","07/07/2021",6616322
"BUS","BUBALUS RESOURCES LIMITED","Materials","13/10/2022",7094110
"BUX","BUXTON RESOURCES LIMITED","Materials","23/10/2007",6001627
"BUY","BOUNTY OIL & GAS NL","Energy","05/02/2002",3903680
"BVR","BELLAVISTA RESOURCES LTD","Materials","25/05/2022",32282418
"BVS","BRAVURA SOLUTIONS LIMITED.","Software & Services","16/11/2016",937059864
"BWF","BLACKWALL LIMITED","Financial Services","21/10/2011",52018795
"BWN","BHAGWAN MARINE LIMITED","Transportation","30/07/2024",121088105
"BWP","BWP TRUST","Equity Real Estate Investment Trusts (REITs)","16/09/1998",2475884006
"BXB","BRAMBLES LIMITED","Commercial & Professional Services","27/11/2006",28054482350
"BXN","BIOXYNE LIMITED","Household & Personal Products","14/12/2000",51955890
"BYH","BRYAH RESOURCES LIMITED","Materials","17/10/2017",3479814
"C1X","COSMOS EXPLORATION LIMITED","Materials","01/12/2021",7553062
"C29","C29 METALS LIMITED","Materials","03/11/2021",6967529
"C79","CHRYSOS CORPORATION LIMITED","Commercial & Professional Services","06/05/2022",416917670
"C7A","CLARA RESOURCES AUSTRALIA LTD","Materials","21/10/2010",2046417
"CAA","CAPRAL LIMITED","Materials","20/11/1986",156129897
"CAE","CANNINDAH RESOURCES LIMITED","Materials","20/05/2005",37860158
"CAF","CENTREPOINT ALLIANCE LIMITED","Financial Services","25/06/2002",60658976
"CAG","CAPE RANGE LTD","Software & Services","30/11/2017",8541747
"CAM","CLIME CAPITAL LIMITED","Not Applic","03/02/2004",103804563
"CAN","CANN GROUP LIMITED","Pharmaceuticals, Biotechnology & Life Sciences","04/05/2017",11781954
"CAQ","CAQ HOLDINGS LIMITED","Real Estate Management & Development","25/07/2005","SUSPENDED"
"CAR","CAR GROUP LIMITED","Media & Entertainment","10/09/2009",12082384643
"CAT","CATAPULT GROUP INTERNATIONAL LTD","Software & Services","19/12/2014",865842962
"CAV","CARNAVALE RESOURCES LIMITED","Materials","15/03/2007",16360874
"CAY","CANYON RESOURCES LIMITED","Materials","15/06/2010",277327436
"CAZ","CAZALY RESOURCES LIMITED","Materials","31/10/2003",6458242
"CBA","COMMONWEALTH BANK OF AUSTRALIA.","Banks","12/09/1991","--"
"CBE","COBRE LIMITED","Materials","31/01/2020",20663078
"CBH","COOLABAH METALS LIMITED","Materials","28/07/2022","SUSPENDED"
"CBL","CONTROL BIONICS LIMITED","Health Care Equipment & Services","07/12/2020",13257500
"CBO","COBRAM ESTATE OLIVES LIMITED","Food, Beverage & Tobacco","11/08/2021",754098500
"CBY","CANTERBURY RESOURCES LIMITED","Materials","07/03/2019",4936022
"CC5","CLEVER CULTURE SYSTEMS LIMITED","Health Care Equipment & Services","31/07/2006",21189484
"CC9","CHARIOT CORPORATION LTD","Materials","27/10/2023",13201467
"CCA","CHANGE FINANCIAL LIMITED","Financial Services","30/06/2016",35716357
"CCE","CARNEGIE CLEAN ENERGY LIMITED","Utilities","26/10/1993",13183325
"CCG","COMMS GROUP LTD","Telecommunication Services","21/12/2017",17941681
"CCL","CUSCAL LIMITED","Financial Services","25/11/2024",450171295
"CCM","CADOUX LIMITED","Materials","20/01/1994",19473173
"CCO","THE CALMER CO INTERNATIONAL LIMITED","Household & Personal Products","20/12/2018",10215485
"CCP","CREDIT CORP GROUP LIMITED","Financial Services","04/09/2000",846751689
"CCR","CREDIT CLEAR LIMITED","Software & Services","27/10/2020",87052972
"CCV","CASH CONVERTERS INTERNATIONAL","Financial Services","07/02/1997",150610804
"CCX","CITY CHIC COLLECTIVE LIMITED","Consumer Discretionary Distribution & Retail","28/05/1998",34710428
"CD1","CD PRIVATE EQUITY FUND I","Not Applic","14/08/2012",18275590
"CD2","CD PRIVATE EQUITY FUND II","Not Applic","09/04/2013",41458478
"CD3","CD PRIVATE EQUITY FUND III","Not Applic","03/07/2016",79591404
"CDA","CODAN LIMITED","Technology Hardware & Equipment","27/11/2003",2545623205
"CDE","CODEIFAI LIMITED","Commercial & Professional Services","07/03/2005",3170314
"CDM","CADENCE CAPITAL LIMITED","Not Applic","05/12/2006",188097588
"CDO","CADENCE OPPORTUNITIES FUND LIMITED.","Not Applic","19/11/2021",26100370
"CDP","CARINDALE PROPERTY TRUST","Equity Real Estate Investment Trusts (REITs)","28/11/1996",375626947
"CDR","CODRUS MINERALS LIMITED","Materials","23/06/2021",2646200
"CDT","CASTLE MINERALS LIMITED","Materials","02/05/2006",5783469
"CDX","CARDIEX LIMITED","Health Care Equipment & Services","09/11/2005",25124293
"CEH","COAST ENTERTAINMENT HOLDINGS LIMITED","Consumer Services","30/11/2018",170535489
"CEL","CHALLENGER GOLD LIMITED","Materials","07/11/2007",92825682
"CEN","CONTACT ENERGY LIMITED","Utilities","24/09/2015",6823901269
"CF1","COMPLII FINTECH SOLUTIONS LTD","Software & Services","18/12/2001",13713447
"CG1","CARBONXT GROUP LIMITED","Materials","23/01/2018",21476713
"CGF","CHALLENGER LIMITED","Financial Services","23/12/2003",4182943931
"CGO","CPT GLOBAL LIMITED","Software & Services","08/09/2000",2639534
"CGR","CGN RESOURCES LIMITED","Materials","18/10/2023",10025760
"CGS","COGSTATE LTD","Health Care Equipment & Services","13/02/2004",228667408
"CHC","CHARTER HALL GROUP","Equity Real Estate Investment Trusts (REITs)","10/06/2005",7468625772
"CHL","CAMPLIFY HOLDINGS LIMITED","Transportation","28/06/2021",35035171
"CHM","CHIMERIC THERAPEUTICS LIMITED","Pharmaceuticals, Biotechnology & Life Sciences","18/01/2021",6480599
"CHN","CHALICE MINING LIMITED","Materials","24/03/2006",352069243
"CHR","CHARGER METALS NL","Materials","09/07/2021",3251651
"CHRCA","CHARGER METALS NL","Materials","09/07/2021",3251651
"CHW","CHILWA MINERALS LTD","Materials","05/07/2023",54172310
"CI1","CREDIT INTELLIGENCE LTD","Commercial & Professional Services","10/07/2008","SUSPENDED"
"CIA","CHAMPION IRON LIMITED","Materials","08/06/2007",2378772095
"CIN","CARLTON INVESTMENTS LIMITED","Not Applic","30/06/1970",802869928
"CIP","CENTURIA INDUSTRIAL REIT","Equity Real Estate Investment Trusts (REITs)","13/12/2012",1841298842
"CIW","CLIME INVESTMENT MANAGEMENT LTD","Financial Services","15/12/2000",25859887
"CKA","COKAL LIMITED","Materials","17/04/2000",28052673
"CKF","COLLINS FOODS LIMITED","Consumer Services","04/08/2011",984320654
"CL8","CARLY HOLDINGS LIMITED","Transportation","09/09/1996","SUSPENDED"
"CLA","CELSIUS RESOURCES LIMITED.","Materials","24/03/1988",20352998
"CLE","CYCLONE METALS LIMITED","Materials","07/06/2001",40984574
"CLG","CLOSE THE LOOP LTD.","Commercial & Professional Services","02/12/2021",45739088
"CLU","CLUEY LTD","Consumer Services","09/12/2020",31048489
"CLV","CLOVER CORPORATION LIMITED","Materials","30/11/1999",84334667
"CLW","CHARTER HALL LONG WALE REIT","Equity Real Estate Investment Trusts (REITs)","08/11/2016",2599225454
"CLX","CTI LOGISTICS LIMITED","Transportation","02/12/1987",126857674
"CLZ","CLASSIC MINERALS LTD","Materials","24/05/2013","SUSPENDED"
"CMB","CAMBIUM BIO LIMITED","Pharmaceuticals, Biotechnology & Life Sciences","19/09/2013",5119146
"CMD","CASSIUS MINING LIMITED","Materials","10/08/2006",8988623
"CMG","CRITICAL MINERALS GROUP LIMITED","Materials","27/09/2022",10085235
"CML","CONNECTED MINERALS LIMITED","Technology Hardware & Equipment","16/08/1984",6993985
"CMM","CAPRICORN METALS LTD","Materials","07/07/2008",3667031088
"CMO","COSMO METALS LIMITED","Materials","31/01/2022",3906032
"CMP","COMPUMEDICS LIMITED","Health Care Equipment & Services","21/12/2000",55262645
"CMW","CROMWELL PROPERTY GROUP","Equity Real Estate Investment Trusts (REITs)","13/03/2002",929697678
"CMX","CHEMX MATERIALS LIMITED","Materials","18/01/2022","SUSPENDED"
"CNB","CARNABY RESOURCES LIMITED","Materials","30/08/2016",55955270
"CND","CONDOR ENERGY LIMITED","Energy","25/05/2005",16139521
"CNI","CENTURIA CAPITAL GROUP","Equity Real Estate Investment Trusts (REITs)","26/03/2002",1323996620
"CNJ","CONICO LTD","Materials","18/06/2007","SUSPENDED"
"CNQ","CLEAN TEQ WATER LIMITED","Commercial & Professional Services","02/07/2021",13726038
"CNU","CHORUS LIMITED","Telecommunication Services","21/11/2011",3197749357
"COB","COBALT BLUE HOLDINGS LIMITED","Materials","02/02/2017",21973665
"COD","CODA MINERALS LTD","Materials","28/10/2020",18915129
"COF","CENTURIA OFFICE REIT","Equity Real Estate Investment Trusts (REITs)","10/12/2014",704857579
"COG","COG FINANCIAL SERVICES LIMITED","Financial Services","28/01/2003",237159662
"COH","COCHLEAR LIMITED","Health Care Equipment & Services","04/12/1995",16765156975
"COI","COMET RIDGE LIMITED","Energy","16/04/2004",149554840
"COL","COLES GROUP LIMITED.","Consumer Staples Distribution & Retail","21/11/2018",27885740867
"COS","COSOL LIMITED","Software & Services","24/01/2020",132851821
"COV","CLEO DIAGNOSTICS LTD","Pharmaceuticals, Biotechnology & Life Sciences","22/08/2023",51400000
"COY","COPPERMOLY LIMITED","Materials","31/01/2008",13239861
"CP8","CANADIAN PHOSPHATE LIMITED","Materials","09/09/2013",8282534
"CPM","COOPER METALS LIMITED","Materials","19/11/2021",2899159
"CPN","CASPIN RESOURCES LIMITED","Materials","25/11/2020",7678792
"CPO","CULPEO MINERALS LIMITED","Materials","10/09/2021",2859509
"CPU","COMPUTERSHARE LIMITED.","Commercial & Professional Services","27/05/1994",21004318880
"CPV","CLEARVUE TECHNOLOGIES LIMITED","Capital Goods","25/05/2018",53640095
"CQE","CHARTER HALL SOCIAL INFRASTRUCTURE REIT","Equity Real Estate Investment Trusts (REITs)","22/05/2003",1024260169
"CQR","CHARTER HALL RETAIL REIT","Equity Real Estate Investment Trusts (REITs)","15/11/1995",2121488073
"CR1","CONSTELLATION RESOURCES LIMITED","Materials","30/07/2018",10716668
"CR3","CORE ENERGY MINERALS LTD","Materials","17/12/1998",3950237
"CR9","CORELLA RESOURCES LTD","Materials","15/01/2008",935487
"CR9N","CORELLA RESOURCES LTD","Materials","15/01/2008",935487
"CRB","CARBINE RESOURCES LIMITED","Materials","16/03/2007",1103476
"CRD","CONRAD ASIA ENERGY LTD.","Energy","27/10/2022",121874844
"CRI","CRITICA LIMITED","Materials","22/09/2006",37638280
"CRN","CORONADO GLOBAL RESOURCES INC.","Materials","23/10/2018",435877970
"CRR","CRITICAL RESOURCES LIMITED","Materials","03/12/2010",7392664
"CRS","CAPRICE RESOURCES LTD","Materials","05/12/2018",25941286
"CSC","CAPSTONE COPPER CORP.","Materials","02/02/2024",6398390438
"CSL","CSL LIMITED","Pharmaceuticals, Biotechnology & Life Sciences","08/06/1994",119019339833
"CSS","CLEAN SEAS SEAFOOD LIMITED","Food, Beverage & Tobacco","12/12/2005",25164160
"CST","CASTILE RESOURCES LTD","Materials","14/02/2020",22013898
"CSX","CLEANSPACE HOLDINGS LIMITED","Health Care Equipment & Services","23/10/2020",32038806
"CT1","CONSTELLATION TECHNOLOGIES LIMITED","Technology Hardware & Equipment","08/10/1987",2212101
"CTD","CORPORATE TRAVEL MANAGEMENT LIMITED","Consumer Services","15/12/2010",1770541527
"CTE","CRYOSITE LIMITED","Pharmaceuticals, Biotechnology & Life Sciences","09/05/2002",36851220
"CTM","CENTAURUS METALS LIMITED","Materials","12/01/1989",163911400
"CTN","CATALINA RESOURCES LTD","Materials","18/02/2010",3790655
"CTNN","CATALINA RESOURCES LTD","Materials","18/02/2010",3790655
"CTO","CITIGOLD CORPORATION LIMITED","Materials","23/12/1993","SUSPENDED"
"CTP","CENTRAL PETROLEUM LIMITED","Energy","07/03/2006",49187049
"CTQ","CARETEQ LIMITED","Health Care Equipment & Services","10/01/2022",2845425
"CTT","CETTIRE LIMITED","Consumer Discretionary Distribution & Retail","18/12/2020",234461505
"CU6","CLARITY PHARMACEUTICALS LTD","Pharmaceuticals, Biotechnology & Life Sciences","09/08/2021",494881482
"CUE","CUE ENERGY RESOURCES LIMITED","Energy","11/12/1995",69210170
"CUF","CUFE LTD","Materials","13/10/2005",6732874
"CUL","CULLEN RESOURCES LIMITED","Materials","23/11/1988",3467009
"CUP","COUNT LIMITED","Commercial & Professional Services","22/12/2010",118513109
"CUS","COPPER SEARCH LIMITED","Materials","15/09/2021",2373477
"CUV","CLINUVEL PHARMACEUTICALS LIMITED","Pharmaceuticals, Biotechnology & Life Sciences","13/02/2001",534317896
"CVB","CURVEBEAM AI LIMITED","Health Care Equipment & Services","23/08/2023",35504745
"CVC","CVC LIMITED","Financial Services","27/06/1985",239104427
"CVL","CIVMEC LIMITED","Capital Goods","22/06/2018",450047280
"CVN","CARNARVON ENERGY LIMITED","Energy","16/08/1984",187854123
"CVR","CAVALIER RESOURCES LIMITED","Materials","17/06/2022",17063454
"CVV","CARAVEL MINERALS LIMITED","Materials","03/11/2006",75432945
"CVW","CLEARVIEW WEALTH LIMITED","Insurance","11/12/2003",279527891
"CWP","CEDAR WOODS PROPERTIES LIMITED","Real Estate Management & Development","31/08/1994",420804172
"CWX","CARAWINE RESOURCES LIMITED","Materials","14/12/2017",24793172
"CWY","CLEANAWAY WASTE MANAGEMENT LIMITED","Commercial & Professional Services","03/05/2005",5956868787
"CXL","CALIX LIMITED","Materials","20/07/2018",56881352
"CXM","CENTREX LIMITED","Materials","19/07/2006","SUSPENDED"
"CXO","CORE LITHIUM LTD","Materials","11/02/2011",132866964
"CXU","CAULDRON ENERGY LIMITED","Energy","28/01/2005",11691237
"CXZ","CONNEXION MOBILITY LTD","Software & Services","01/01/1974",22174299
"CY5","CYGNUS METALS LIMITED","Materials","15/01/2018",72184692
"CYB","AUCYBER LIMITED","Software & Services","14/12/2020",15865646
"CYBN","AUCYBER LIMITED","Software & Services","14/12/2020",15865646
"CYC","CYCLOPHARM LIMITED","Health Care Equipment & Services","18/01/2007",131141483
"CYG","COVENTRY GROUP LIMITED","Capital Goods","27/01/1966",111537371
"CYL","CATALYST METALS LIMITED","Materials","26/07/2006",1354647271
"CYM","CYPRIUM METALS LIMITED","Materials","26/04/1985",37147079
"CYP","CYNATA THERAPEUTICS LIMITED","Pharmaceuticals, Biotechnology & Life Sciences","20/12/2007",40671786
"CYQ","CYCLIQ GROUP LTD","Consumer Durables & Apparel","09/11/2007",1151292
"CZN","CORAZON MINING LIMITED","Materials","30/06/2005",2369145
"CZR","CZR RESOURCES LTD","Materials","29/08/2006",63918355
"D2O","DUXTON WATER LIMITED","Utilities","16/09/2016",215054333
"D3E","D3 ENERGY LIMITED","Energy","09/04/2024",6039750
"DAF","DISCOVERY ALASKA LIMITED","Materials","22/09/2011",2576582
"DAI","DECIDR AI INDUSTRIES LTD","Food, Beverage & Tobacco","14/12/2020",83047035
"DAL","DALAROO METALS LTD","Materials","28/09/2021",3983231
"DBF","DUXTON FARMS LTD","Food, Beverage & Tobacco","08/02/2018",54327677
"DBI","DALRYMPLE BAY INFRASTRUCTURE LIMITED","Transportation","08/12/2020",1849191018
"DBO","DIABLO RESOURCES LIMITED","Materials","12/10/2021",1803500
"DCC","DIGITALX LIMITED","Software & Services","19/02/1989",49348579
"DDB","DYNAMIC GROUP HOLDINGS LIMITED","Capital Goods","06/08/2020",40085298
"DDR","DICKER DATA LIMITED","Technology Hardware & Equipment","24/01/2011",1463074350
"DDT","DATADOT TECHNOLOGY LIMITED","Automobiles & Components","12/01/2005",4843811
"DEG","DE GREY MINING LIMITED","Materials","03/07/2002",5443632184
"DEL","DELOREAN CORPORATION LIMITED","Utilities","12/04/2021",34143114
"DEM","DE.MEM LIMITED","Utilities","07/04/2017",26654207
"DES","DESOTO RESOURCES LIMITED","Materials","16/12/2022",8332740
"DEV","DEVEX RESOURCES LIMITED","Energy","03/10/2000",33568491
"DGH","DESANE GROUP HOLDINGS LIMITED","Real Estate Management & Development","04/09/1987",32114342
"DGL","DGL GROUP LIMITED","Materials","24/05/2021",139760378
"DGR","DGR GLOBAL LIMITED","Materials","21/08/2003",5218480
"DGT","DIGICO INFRASTRUCTURE REIT","Class Pend","13/12/2024",1361837162
"DHG","DOMAIN HOLDINGS AUSTRALIA LIMITED.","Media & Entertainment","16/11/2017",2469779468
"DJW","DJERRIWARRH INVESTMENTS LIMITED","Not Applic","28/06/1995",781530409
"DKM","DUKETON MINING LIMITED","Materials","04/08/2014",9792926
"DLI","DELTA LITHIUM LIMITED","Materials","03/11/2017",107481269
"DM1","DESERT METALS LIMITED","Materials","18/12/2020",6516412
"DME","DOME GOLD MINES LIMITED","Materials","22/10/2013",71357159
"DMG","DRAGON MOUNTAIN GOLD LIMITED","Materials","31/07/2007",1973358
"DMM","DMC MINING LIMITED.","Materials","22/12/2021","SUSPENDED"
"DMP","DOMINO'S PIZZA ENTERPRISES LIMITED","Consumer Services","16/05/2005",2446210607
"DN1","DOMINION INCOME TRUST 1","Not Applic","04/03/2025",303000000
"DNA","DONACO INTERNATIONAL LIMITED","Consumer Services","23/12/2004",50650965
"DNL","DYNO NOBEL LIMITED.","Materials","28/07/2003",4249667130
"DOC","DOCTOR CARE ANYWHERE GROUP PLC","Health Care Equipment & Services","04/12/2020",31539799
"DOW","DOWNER EDI LIMITED","Commercial & Professional Services","20/12/1990",3579487709
"DRE","DREADNOUGHT RESOURCES LTD","Materials","31/10/2006",56038000
"DRO","DRONESHIELD LIMITED","Capital Goods","22/06/2016",764282014
"DRR","DETERRA ROYALTIES LIMITED","Materials","23/10/2020",1867081504
"DRX","DIATREME RESOURCES LIMITED","Materials","22/06/2005",90149073
"DSE","DROPSUITE LIMITED","Software & Services","12/12/1985",402504001
"DSK","DUSK GROUP LIMITED","Consumer Discretionary Distribution & Retail","02/11/2020",61645186
"DTI","DTI GROUP LTD","Technology Hardware & Equipment","09/12/2014",3588411
"DTL","DATA#3 LIMITED","Software & Services","23/12/1997",1087456498
"DTM","DART MINING NL","Materials","10/05/2007",3094938
"DTR","DATELINE RESOURCES LIMITED","Materials","23/06/2011",12827843
"DTZ","DOTZ NANO LIMITED","Technology Hardware & Equipment","13/12/2007",38510252
"DUB","DUBBER CORPORATION LIMITED","Software & Services","30/06/2000",86571127
"DUG","DUG TECHNOLOGY LTD","Software & Services","12/08/2020",119845265
"DUI","DIVERSIFIED UNITED INVESTMENT LIMITED","Not Applic","19/12/1991",1071569752
"DUN","DUNDAS MINERALS LIMITED","Materials","10/11/2021",2680459
"DUR","DURATEC LIMITED","Capital Goods","04/11/2020",394445124
"DVL","DORSAVI LTD","Pharmaceuticals, Biotechnology & Life Sciences","11/12/2013",4387428
"DVP","DEVELOP GLOBAL LIMITED","Materials","27/04/2007",602545183
"DWGDA","DATAWORKS GROUP LIMITED","Software & Services","15/11/2017","--"
"DXB","DIMERIX LIMITED","Pharmaceuticals, Biotechnology & Life Sciences","04/02/1993",204133281
"DXC","DEXUS CONVENIENCE RETAIL REIT","Equity Real Estate Investment Trusts (REITs)","27/07/2017",391228639
"DXI","DEXUS INDUSTRIA REIT.","Equity Real Estate Investment Trusts (REITs)","09/04/2025",815383671
"DXN","DXN LIMITED","Software & Services","11/04/2018",9259813
"DXS","DEXUS","Equity Real Estate Investment Trusts (REITs)","06/10/2004",7571979332
"DY6","DY6 METALS LTD","Class Pend","29/06/2023",2047500
"DYL","DEEP YELLOW LIMITED","Energy","19/12/1985",826687401
"DYM","DYNAMIC METALS LIMITED","Materials","16/01/2023",16197832
"E25","ELEMENT 25 LIMITED","Materials","09/11/2006",54866976
"E79","E79 GOLD MINES LIMITED","Materials","07/10/2021",6019680
"EAT","ENTERTAINMENT REWARDS LTD","Media & Entertainment","09/09/2014",5235144
"EAX","ENERGY ACTION LIMITED","Commercial & Professional Services","13/10/2011",14618040
"EBO","EBOS GROUP LIMITED","Health Care Equipment & Services","06/12/2013",6820423695
"EBR","EBR SYSTEMS INC.","Health Care Equipment & Services","24/11/2021",533241743
"ECF","ELANOR COMMERCIAL PROPERTY FUND","Equity Real Estate Investment Trusts (REITs)","06/12/2019",236061349
"ECH","ECHELON RESOURCES LIMITED","Energy","25/09/2020",78382793
"ECL","EXCELSIOR CAPITAL LTD","Capital Goods","22/04/1993",94521969
"ECP","ECP EMERGING GROWTH LIMITED","Not Applic","14/08/2014",21854952
"ECS","ECS BOTANICS HOLDINGS LTD","Pharmaceuticals, Biotechnology & Life Sciences","13/03/1986",14256545
"ECT","ENVIRONMENTAL CLEAN TECHNOLOGIES LIMITED.","Commercial & Professional Services","05/02/1986",7293621
"EDC","EILDON CAPITAL GROUP","Financial Services","28/02/2017",42272209
"EDE","EDEN INNOVATIONS LTD","Energy","06/06/2006",8219762
"EDU","EDU HOLDINGS LIMITED","Consumer Services","25/06/2004",21077477
"EDV","ENDEAVOUR GROUP LIMITED","Consumer Staples Distribution & Retail","24/06/2021",7110190667
"EE1","EARTHS ENERGY LIMITED","Materials","16/09/2011",4501947
"EEG","EMPIRE ENERGY GROUP LIMITED","Energy","30/08/1984",183114579
"EEL","ENRG ELEMENTS LTD","Materials","01/07/2011",3253779
"EFE","EASTERN RESOURCES LIMITED","Materials","16/05/2008",3152249
"EG1","EVERGREEN LITHIUM LIMITED","Materials","11/04/2023",12494403
"EGG","ENERO GROUP LIMITED","Media & Entertainment","30/04/2004",55348424
"EGH","EUREKA GROUP HOLDINGS LIMITED","Real Estate Management & Development","01/07/2004",203605682
"EGL","ENVIRONMENTAL GROUP LIMITED (THE)","Capital Goods","12/02/1981",87514493
"EGN","ENGENCO LIMITED","Capital Goods","14/12/2006",93217892
"EGR","ECOGRAF LIMITED","Materials","29/10/2010",131698228
"EGY","ENERGY TECHNOLOGIES LIMITED","Capital Goods","22/10/1992",13387418
"EHL","EMECO HOLDINGS LIMITED","Capital Goods","28/07/2006",386189194
"EIQ","ECHOIQ LIMITED","Software & Services","17/12/2010",153015471
"EL8","ELEVATE URANIUM LTD","Energy","23/10/1985",90619716
"ELD","ELDERS LIMITED","Food, Beverage & Tobacco","30/06/1981",1144988017
"ELS","ELSIGHT LIMITED","Technology Hardware & Equipment","08/06/2017",63364424
"ELT","ELEMENTOS LIMITED","Materials","23/12/2009",20543471
"EM2","EAGLE MOUNTAIN MINING LIMITED","Materials","16/03/2018",5675186
"EMB","EMBELTON LIMITED","Capital Goods","01/01/1974",18125999
"EMC","EVEREST METALS CORPORATION LTD","Materials","18/10/2006",33567575
"EMD","EMYRIA LIMITED","Health Care Equipment & Services","12/02/2020",12281104
"EME","ENERGY METALS LTD","Energy","09/09/2005",15516565
"EMH","EUROPEAN METALS HOLDINGS LIMITED","Materials","19/07/2012",48749506
"EML","EML PAYMENTS LIMITED","Financial Services","18/01/2006",320788087
"EMNDA","EURO MANGANESE INC","Materials","02/10/2018","--"
"EMP","EMPEROR ENERGY LIMITED","Energy","05/06/1987",21313058
"EMR","EMERALD RESOURCES NL","Materials","22/07/1994",2537100483
"EMS","EASTERN METALS LIMITED","Materials","25/10/2021",1136762
"EMT","EMETALS LIMITED","Not Applic","26/10/2010",2550000
"EMU","EMU NL","Materials","27/02/2008",4646434
"EMUCA","EMU NL","Materials","27/02/2008",4646434
"EMV","EMVISION MEDICAL DEVICES LTD","Health Care Equipment & Services","13/12/2018",162481417
"ENL","ENLITIC INC.","Health Care Equipment & Services","19/12/2023",32234120
"ENN","ELANOR INVESTORS GROUP","Consumer Services","11/07/2014","SUSPENDED"
"ENR","ENCOUNTER RESOURCES LIMITED","Materials","24/03/2006",97264502
"ENT","ENTERPRISE METALS LIMITED","Materials","20/06/2007",2356635
"ENV","ENOVA MINING LIMITED","Materials","13/04/2007",7067504
"ENX","ENEGEX LIMITED","Materials","08/10/2013",4571065
"EOF","ECOFIBRE LIMITED","Pharmaceuticals, Biotechnology & Life Sciences","29/03/2019",7198604
"EOL","ENERGY ONE LIMITED","Software & Services","15/01/2007",323329553
"EOS","ELECTRO OPTIC SYSTEMS HOLDINGS LIMITED","Capital Goods","23/10/2000",226718716
"EPM","ECLIPSE METALS LIMITED.","Energy","17/02/2011",14299095
"EPN","EPSILON HEALTHCARE LIMITED","Pharmaceuticals, Biotechnology & Life Sciences","04/05/2017","SUSPENDED"
"EPX","EP&T GLOBAL LIMITED","Software & Services","12/05/2021",25031970
"EPY","EARLYPAY LTD","Financial Services","23/02/2010",59886000
"EQN","EQUINOX RESOURCES LIMITED.","Materials","13/10/2021",10403400
"EQR","EQ RESOURCES LIMITED","Materials","06/06/2006",99121363
"EQS","EQUITY STORY GROUP LTD","Financial Services","03/05/2022",3316408
"EQT","EQT HOLDINGS LIMITED","Financial Services","06/08/1985",791281076
"EQX","EQUATORIAL RESOURCES LIMITED","Materials","14/05/1987",13144535
"ERA","ENERGY RESOURCES OF AUSTRALIA LIMITED","Energy","19/11/1980",810792482
"ERD","EROAD LIMITED","Technology Hardware & Equipment","18/09/2020",152739665
"ERG","ENECO REFRESH LTD","Food, Beverage & Tobacco","29/03/2006",2995942
"ERL","EMPIRE RESOURCES LIMITED","Materials","01/02/2007",5935653
"ERM","EMMERSON RESOURCES LIMITED","Materials","17/12/2007",76274265
"ERW","ERRAWARRA RESOURCES LTD","Materials","14/12/2020",4533432
"ESK","ETHERSTACK PLC","Software & Services","07/09/2012",35686441
"ESR","ESTRELLA RESOURCES LIMITED","Materials","09/05/2012",47194548
"ETM","ENERGY TRANSITION MINERALS LTD","Materials","20/06/2006",88361895
"ETR","ENTYR LIMITED","Commercial & Professional Services","02/11/2006","SUSPENDED"
"EUR","EUROPEAN LITHIUM LIMITED","Materials","02/12/2010",56362077
"EV1","EVOLUTION ENERGY MINERALS LIMITED","Materials","16/11/2021",4714456
"EVE","EVE HEALTH GROUP LIMITED.","Financial Services","08/04/2004",5274483
"EVG","EVION GROUP NL","Materials","19/01/2018",7028995
"EVN","EVOLUTION MINING LIMITED","Materials","20/08/2002",13536078768
"EVO","EMBARK EARLY EDUCATION LIMITED","Consumer Services","05/12/2014",129354744
"EVR","EV RESOURCES LTD","Materials","07/12/1994",9929183
"EVS","ENVIROSUITE LIMITED","Software & Services","11/02/2008",99960554
"EVT","EVT LIMITED","Media & Entertainment","30/06/1962",2096539244
"EVZ","EVZ LIMITED","Capital Goods","26/04/1985",17599508
"EWC","ENERGY WORLD CORPORATION LTD","Utilities","08/12/1988",46183819
"EXL","ELIXINOL WELLNESS LIMITED","Household & Personal Products","08/01/2018",6624604
"EXP","EXPERIENCE CO LIMITED","Consumer Services","27/03/2015",75745739
"EXR","ELIXIR ENERGY LIMITED","Energy","19/07/2004",29321865
"EXT","EXCITE TECHNOLOGY SERVICES LTD","Software & Services","03/01/2007",22810527
"EYE","NOVA EYE MEDICAL LIMITED","Health Care Equipment & Services","12/10/1987",25567179
"EZL","EUROZ HARTLEYS GROUP LIMITED","Financial Services","02/08/1971",140099210
"EZZ","EZZ LIFE SCIENCE HOLDINGS LIMITED","Consumer Discretionary Distribution & Retail","03/03/2021",65099016
"FAL","FALCON METALS LTD","Materials","22/12/2021",16992000
"FAR","FAR LIMITED","Energy","23/01/1986",43432535
