rts-ticker,isin
000,PTGNV0AM0001
003A,US97717W1255
00ED,GB00B15KY658
00EE,GB00B15KY211
00EF,GB00B15KYF40
00EG,GB00B15KY872
00EJ,JE00B2NFTF36
00EL,JE00B2NFTD12
00EM,JE00B2NFTW01
00EN,JE00B2NFV803
00EU,JE00B2NFTG43
00LA,US00768Y4127
00MA,US46138E7435
00MB,US46137V4077
00ME,US46137Y5006
00MF,US46137V3574
00MG,US46137Y4017
00MJ,US46138J7752
00V0,LU0321021585
00W,AU000000ASP3
00X0,JE00B78NPW60
00XJ,JE00B78NPY84
00XK,JE00B78NNS84
00XL,JE00B4PDKD43
00XM,JE00B44F1611
00XN,JE00B4RKQV36
00XP,JE00B6XF0923
00XQ,JE00B78NPQ01
00XR,JE00B5SV2703
00XS,JE00B78NNK09
00XT,JE00B7305Z55
011,CA88369B1058
0110,CA8839301097
013A,US47215P1066
013C,KYG8208B1014
015,US00887A1051
015A,US00887A2042
016,CA22576C1014
0160,CA92340V1076
018E,US46434G7723
018F,US46434G8143
018G,US46434G8309
018K,US46434G8226
01D0,US4642878874
01D6,US46429B5984
01DA,US4642886463
01DB,US46429B6065
01DC,US4642887115
01DD,US4642894467
01DE,US46429B3096
01DF,US4642887941
01DG,US4642882819
01DH,US4642886539
01DI,US4642885960
01DJ,US4642884229
01DK,US4642871192
01DL,US4642883726
01DM,US4642875649
01DN,US4642878387
01DP,US4642878122
01DQ,US4642875805
01DR,US4642877546
01DS,US4642876142
01DT,US4642875987
01DU,US4642876480
01DV,US4642876308
01DW,US4642876712
01DX,US4642875722
01DY,US4642877058
01DZ,US4642878791
01P,US58506Q1094
01T,JP3574200006
022,US8265986096
0223,US8265985007
025A,US9229086296
025B,US9219108738
025C,US9220428588
025D,US9220427754
025E,US9229086379
025F,US9229086114
025G,US92204A8018
025I,US9229085124
025J,US9229087690
025K,US9229083632
025M,US9219097683
025Q,US92206C6646
02B,US09239B1098
02F1,US33734X1431
02F2,US33736M1036
02F5,US33738R6053
02F8,US33734X1928
02FA,US33735J1016
02FB,US33733E2037
02FC,US3369201039
02FD,US33718M1053
02FE,US33733E3027
02FF,US33734G1085
02FG,US33734X1688
02FH,US3369171091
02FI,US33733A1025
02FJ,US33736N1019
02FK,US33733C1080
02FL,US33734X1761
02FM,US33735K1088
02FN,US33734Y1091
02FP,US33734X1506
02FQ,US33736G1067
02FS,US33734K1097
02FT,US33734X1019
02FU,US33734X1191
02FV,US33734X1274
02FW,US33733B1008
02FX,US33734X1357
02FY,US33734X1845
02FZ,US33734X2009
02G,CNE100000Q35
02H0,SE0018040677
02M,US61945C1036
02V,CA92707Y1088
02Z,US30219E1038
02Z0,US30219E2028
034B,US26924G5080
038,JE00BYSS4X48
03AA,US00162Q2057
03AB,US00162Q1067
03EA,CA6555PC2029
03G,MHY2687W1084
03O1,US74347B2354
03O2,US74347B2503
03O3,US74349Y7610
03O9,US74347G7051
03OH,US74347B7148
03OI,US74347X8314
03OM,US74348A2107
03OY,US74347B2271
03OZ,US74347B2842
03RA,XS2056722734
03XA,US45409B8836
03XC,US45409B8000
04AA,XS1717433541
04AL,XS1622421722
04HA,XS1839682116
04I,US46186M6057
04K,CA4990531069
04M,US75605Y1064
04Q,FI4000297767
04U1,CA4104991076
04X,US71535D1063
05B,FR0014000U63
05C1,AT0000A0X913
05M,KYG2743Y1061
05Y,NL00150002Q7
061,CA25609L1058
06MA,US57667T1007
06S,US84920Y1064
06YA,FR0013242336
070,CA75974M1059
0702,CA89623Q1028
074,US7561581015
079A,US09257W1009
07G,US3390411052
07G0,US2199481068
07M,KYG215791008
07O2,XS1405765907
07S,US81374A1051
07WA,US62482R1077
07X,US03615A1088
089,KYG177661090
08D,US6047491013
08HH,CNE100001M79
08PB,US72201R8667
08PC,US72201R4039
08PD,US72201R8741
08PF,US72201R8824
08PG,US72201R8170
08PH,US72201R2058
08PI,US72201R8337
08PJ,US72201R3049
08T,CA89156V1067
08W,CA83423L1085
096,US4435731009
09AA,AT0000990346
09B,NL0010733960
09KB,US00214Q1040
09KC,US00214Q4010
09KD,US00214Q7088
09KE,US00214Q3020
09SA,US8085248701
09SB,US8085243009
09SC,US8085248883
09SD,US8085245087
09SE,US8085244098
09SF,US8085242019
09SG,US8085246077
09SH,US8085241029
09SI,US8085248057
09SJ,US8085247067
09SK,US8085248628
09SL,US8085248545
09SM,US8085248479
0ADN,CA03464C1068
0AJ,US86333M1080
0AK,US03852U1060
0AL,US00847L3087
0AL0,US00847L2097
0AQA,XS1645519031
0ATD,US02209SAM52
0ATF,US02209SAR40
0ATG,US02209SAP83
0ATH,US02209SAQ66
0AV,FR0012532810
0AW,JP3160670000
0B1,US12510Q1004
0B2,AT0000BAWAG2
0B51,CA6882741094
0B7,CH0238627142
0B9A,XS1632767718
0BAF,XS1186176571
0BBA,US161175BX17
0BD,US98979V1026
0BEK,BE0000351602
0BF1,US97264L1008
0BT1,CA0704902067
0BY2,US4642882579
0BY8,US46435G3424
0BYA,US46435G3341
0C0,CA62822A1030
0C1,US04965G1094
0C2,JP3526600006
0C4B,XS1415366720
0C6,US1417881091
0C8,US1488061029
0C9,US1630752038
0C9A,US1630751048
0CBA,XS1851268893
0CCA,FR0013254273
0CCC,FR0012332450
0CCE,FR0013234986
0CCR,FR0013141066
0CCS,FR0013141074
0CCT,FR0013235132
0CCU,FR0013235025
0CCV,FR0013263951
0CFB,XS0947658208
0CG,US1630921096
0CI,CNE100001QS1
0CT,GB00BLY2F708
0D0A,FR0013142536
0DA,MHY2106R1100
0DF3,US25490K3234
0DF5,US25460E5472
0DFC,US25459Y6941
0DFJ,US25460G5009
0DFR,US25459Y8764
0DFU,US25490K8696
0DFV,US25459Y1165
0DFY,US25459Y2809
0DPS,AU000000DXS1
0DYC,XS1485596511
0E41,US29336T1007
0E6,CA80600L1094
0E7A,XS2076154801
0E9,CA98959U1084
0EB0,US68626A2078
0EC,CNE1000029M4
0EEA,XS2262211076
0EEB,XS2258400162
0EF,US26856L1035
0EGA,EU000A1G6TV9
0EGD,EU000A1A2KZ4
0EGL,EU000A1GVVF8
0EGP,EU000A1GY6W8
0EGQ,EU000A1G1Q17
0EGR,EU000A1G30R0
0EGV,EU000A1HBXS7
0EGW,EU000A1ZE225
0EIA,ES0000012I08
0EIB,ES0000012I24
0EIC,ES0000012I32
0EL,KYG9845C1069
0EN4,XS1425966287
0EN5,XS1550149204
0EN8,XS2066706735
0EN9,XS2066706909
0ET,US29664W1053
0F1,US63009R1095
0FA,US31154R1095
0FCA,XS1419661118
0FF,BMG9156K1018
0FG,US00109K1051
0FHA,GB00B15KXV33
0FHB,GB00B15KXW40
0FHC,GB00B15KXY63
0FHD,GB00B15KYB02
0FHE,GB00B15KYC19
0FHH,JE00B24DK975
0FHL,GB00B15KXN58
0FHN,GB00B15KXP72
0FHP,GB00B15KXS04
0FHR,GB00B15KY328
0FHS,GB00B15KY542
0FHT,GB00B15KYG56
0FHV,JE00B24DKC09
0FHW,JE00B2NFTL95
0FHX,JE00B2NFV134
0FHY,JE00B2NFTS64
0FJ,KYG3R83K1037
0FV,US55406W1036
0FY,US29446K1060
0G3,CA92859G2027
0G31,CA92859G6085
0G93,MHY272651263
0GF,AU0000139990
0GP,CA52737K1066
0GP0,CA52737K2056
0GS,US40171V1008
0GT,US86150R1077
0GV,US86887Q1094
0GY,CA36830P1045
0GZA,DE000PZ9REG5
0GZB,DE000PZ9REC4
0GZC,DE000PZ9REN1
0GZD,DE000PZ9REM3
0GZE,DE000PZ9RED2
0GZF,DE000PZ9RE14
0GZG,DE000PZ9REH3
0GZH,DE000PZ9REA8
0GZI,DE000PZ9REZ5
0GZJ,DE000PZ9RET8
0GZK,DE000PZ9REL5
0GZL,DE000PZ9RME3
0HC,CA6083841032
0HE1,CA05466C1095
0HKB,USU4328RAD62
0HNB,US035240AL43
0HNH,US035240AS95
0HNJ,US035240AT78
0HNK,US035240AV25
0HPA,XS2314246526
0HR,DK0061414711
0HV,US29415F1049
0I3,US05465P1012
0I5,CA08772W1086
0I5A,CA08772W2076
0I6,IT0003188064
0I88,US4642863926
0IK,GB00BS3DYQ52
0IL,US45822R1014
0IPA,US65413D2045
0ITA,CA80401L3083
0IU0,CA90366H1010
0JDC,US24422EUH07
0JDJ,US24422EVD83
0JJ0,CA09238B3083
0JNA,XS1589980330
0JQA,US87823R2013
0JS,CA58507M1077
0JV,US4510336096
0JV0,US4510337086
0JVN,US4510332038
0JW,US47580P1030
0JZD,US46625HRY89
0K3,US87241J1043
0K30,US87241J2033
0K4,US00973Y1082
0K9,CA35954B4047
0K91,CA74764Y2050
0K9A,CA35954B2066
0KB2,US4448632038
0KD,IL0011216723
0KE,LU0327357389
0KGA,XS1806124753
0L2,US90915J1034
0L5,US5132721045
0L8,US5165441032
0LC,GB0000536739
0LJC,IE00BVFZGC04
0LJD,IE00BVFZGD11
0LJI,IE00BLS09N40
0LKP,JE00B78CP782
0LMA,XS1586337872
0LNA,SE0007126024
0LNB,SE0007525332
0LNC,SE0010296574
0LND,SE0010296582
0LQ,MHY235081079
0LS,US12122L1017
0LZ,JE00BF50RG45
0M1,CA8428133059
0M4,US59045L1061
0M5,US0900431000
0M61,US62857J2015
0M7,KYG226921008
0ME,US90184D1000
